key,,admin_name1,latitude,longitude,accuracy
IN,131109,Haryana,29.1167,76.95,
IN,131110,Haryana,28.9514,76.5278,
IN,131112,Haryana,28.9514,76.5278,
IN,131113,Haryana,28.9514,76.5278,4
IN,131114,Haryana,28.9514,76.5278,
IN,131115,Haryana,28.9514,76.5278,
IN,132001,Haryana,29.752,76.6199,
IN,132002,Haryana,29.752,76.6199,
IN,132021,Haryana,29.85,76.6667,4
IN,132024,Haryana,29.8,76.5333,
IN,132025,Haryana,29.8,76.5333,
IN,132026,Haryana,29.75,76.55,4
IN,132027,Haryana,29.8,76.3833,4
IN,132034,Haryana,30.0489,76.3444,4
IN,132035,Haryana,30.0386,76.3,4
IN,132036,Haryana,29.65,76.8667,4
IN,132037,Haryana,29.6056,76.9803,4
IN,132038,Haryana,29.9167,76.85,4
IN,132039,Haryana,29.8519,76.6683,
IN,132040,Haryana,29.65,76.5667,
IN,132041,Haryana,29.65,76.5667,
IN,132042,Haryana,29.7833,76.55,4
IN,132043,Haryana,29.7167,76.5167,4
IN,132044,Haryana,29.5833,76.4833,4
IN,132045,Haryana,29.65,76.5667,
IN,132046,Haryana,29.5167,76.7167,4
IN,132047,Haryana,29.65,76.5667,
IN,132048,Haryana,29.65,76.5667,
IN,132049,Haryana,29.65,76.5667,
IN,132050,Haryana,29.5167,76.85,
IN,132051,Haryana,29.5167,76.85,4
IN,132052,Haryana,29.5167,76.85,
IN,132058,Haryana,29.5167,76.85,
IN,132101,Haryana,29.2333,77.0167,4
IN,132102,Haryana,29.3111,76.9924,
IN,132103,Haryana,29.3111,76.9924,
IN,132104,Haryana,29.3111,76.9924,
IN,132105,Haryana,29.3111,76.9924,
IN,132106,Haryana,29.3111,76.9924,
IN,132108,Haryana,29.3889,76.9681,4
IN,132109,Haryana,29.3111,76.9924,
IN,132110,Haryana,29.6854,76.9442,
IN,132111,Haryana,29.5375,76.9717,4
IN,132112,Haryana,29.6854,76.9442,
IN,132113,Haryana,29.6854,76.9442,
IN,132115,Haryana,29.6854,76.9442,
IN,132116,Haryana,29.6854,76.9442,
IN,132117,Haryana,29.8333,76.9167,4
IN,132118,Haryana,29.6854,76.9442,
IN,132120,Haryana,29.9669,76.7443,
IN,132121,Haryana,29.9669,76.7443,
IN,132123,Haryana,29.8,76.9833,4
IN,132124,Haryana,29.9669,76.7443,
IN,132125,Haryana,29.9669,76.7443,
IN,132128,Haryana,29.9833,76.5833,4
IN,132129,Haryana,30.1172,76.6661,4
IN,132130,Haryana,29.9228,76.9344,
IN,132131,Haryana,29.9228,76.9344,
IN,132132,Haryana,29.9944,77.0444,4
IN,132133,Haryana,30.0333,77.15,4
IN,132134,Haryana,29.9228,76.9344,
IN,132135,Haryana,29.9228,76.9344,
IN,132136,Haryana,29.9228,76.9344,
IN,132137,Haryana,29.9467,76.9097,4
IN,132138,Haryana,29.7167,76.6333,4
IN,132142,Haryana,29.3092,76.9014,
IN,132143,Haryana,29.3092,76.9014,
IN,132144,Haryana,29.3092,76.9014,
IN,132145,Haryana,29.3092,76.9014,4
IN,132146,Haryana,29.3092,76.9014,
IN,132149,Haryana,29.3092,76.9014,
IN,132150,Haryana,29.4167,74.55,
IN,132151,Haryana,29.4167,74.55,
IN,132152,Haryana,29.4167,74.55,4
IN,132153,Haryana,29.4167,74.55,
IN,132154,Haryana,29.4167,74.55,
IN,133001,Haryana,30.3783,76.7808,4
IN,133004,Haryana,25.4808,78.7571,
IN,133005,Haryana,25.4808,78.7571,
IN,133102,Haryana,30.2,77.15,
IN,133104,Haryana,30.3097,76.975,4
IN,133105,Haryana,30.2549,77.0625,
IN,133201,Haryana,30.3833,77.2167,
IN,133202,Haryana,30.3833,77.2167,
IN,133203,Haryana,30.3833,77.2167,
IN,133204,Haryana,30.3833,77.2167,4
IN,133205,Haryana,30.3833,77.2167,
IN,133206,Haryana,30.3833,77.2167,
IN,133207,Haryana,30.3833,77.2167,
IN,133208,Haryana,30.3833,77.2167,
IN,133301,Haryana,28.3709,77.7712,
IN,133302,Haryana,28.3709,77.7712,
IN,134002,Haryana,30.5224,77.046,
IN,134003,Haryana,30.5224,77.046,
IN,134007,Haryana,30.5224,77.046,
IN,134011,Haryana,30.5224,77.046,
IN,134012,Haryana,30.5224,77.046,
IN,134101,Haryana,30.5224,77.046,
IN,134102,Haryana,30.5224,77.046,
IN,134104,Haryana,30.5224,77.046,
IN,134107,Haryana,30.5224,77.046,
IN,134108,Haryana,30.5224,77.046,
IN,134109,Haryana,30.5224,77.046,
IN,134112,Haryana,30.5224,77.046,
IN,134113,Haryana,30.5224,77.046,
IN,134118,Haryana,29.3833,75.9167,
IN,134201,Haryana,30.4561,76.9339,4
IN,134202,Haryana,30.45,77.0333,4
IN,134203,Haryana,30.4833,77.1333,4
IN,134204,Haryana,30.5224,77.046,
IN,134205,Haryana,30.7,77.0833,4
IN,134206,Haryana,30.5224,77.046,
IN,135001,Haryana,30.1667,77.3,
IN,135002,Haryana,30.1667,77.3,
IN,135003,Haryana,30.1667,77.3,4
IN,135103,Haryana,30.25,77.3667,4
IN,135104,Haryana,30.25,77.3667,
IN,140001,Punjab,30.7871,76.5526,
IN,140102,Punjab,31.2583,76.3958,
IN,140104,Punjab,31.2583,76.3958,
IN,140108,Punjab,31.2583,76.3958,
IN,140109,Punjab,31.2583,76.3958,
