,pincode,latitude,longitude,location,subzone,top_cuisines,popularity,nearby_res
68,700072,22.56553265,88.35660485,Chandni Chowk,Bow Bazar,"Chinese,North Indian,Fast Food,Biryani,Bengali",4.76,"18440243,18560756,18573069,21411,18761176,21636,22429,18673556,22095"
9,700010,22.56518144,88.39488349,Beliaghata,Kankurgachi,"Chinese,North Indian,Fast Food,Desserts,Bakery",4.87,"18812843,18461760,21220,20984,20782,18420396,21354,24833,21269"
20,700021,22.56459606,88.34330589,Dalhousie BBD Bagh,Dalhousie BBD Bagh,"North Indian,Chinese,Fast Food,Street Food,Mishti",4.92,"18440243,18560756,21411,21636,22429,18673556,21581,19137878,20012"
12,700013,22.56413812,88.3583619,Taltala,Taltala,"Chinese,North Indian,Fast Food,Biryani,Beverages",5.00,"25570,19294704,18532436,20404,18634729,20870,18617771,20350,18589546"
65,700069,22.5623,88.3494,New Market Area,New Market Area,"North Indian,Chinese,Fast Food,Biryani,Mughlai",5.00,"25570,19294704,18532436,20404,18634729,20870,18617771,20350,18589546"
13,700014,22.5596,88.3705,Park Circus Area,Entally,"Chinese,Fast Food,Biryani,North Indian,Mughlai",4.50,"20796,18573069,22656,20826,18761176,18561959,21578,21179,21527"
81,700087,22.5594888,88.3532323,New Market Area,New Market Area,"North Indian,Chinese,Fast Food,Biryani,Mughlai",5.00,"25570,19294704,18532436,20404,18634729,20870,18617771,20350,18589546"
14,700015,22.55895235,88.37868832,Entally,Entally,"Chinese,Fast Food,Biryani,North Indian,Mughlai",4.50,"20796,18573069,22656,20826,18761176,18561959,21578,21179,21527"
15,700016,22.5535,88.3566,Taltala,Park Street Area,"Chinese,North Indian,Fast Food,Biryani,Beverages",5.00,"25570,19294704,18532436,20404,20796,18634729,20870,18681582,18610904"
98,700105,22.55226806,88.39700757,Science City Area,Science City Area,"Chinese,North Indian,Fast Food,Italian,Asian",4.39,"18398880,19111824,18761167,21217,21346,21216,18343730,18162672,24452"
21,700022,22.55195567,88.32955288,Kidderpore,Kidderpore,"Fast Food,North Indian,Bakery,Biryani,Chinese",3.89,"20747,22205,18166905,20789,21474,18574144,24176,20672,18557935"
37,700038,22.55184823,88.34700582,Park Street Area,Chowringhee,"Chinese,North Indian,Fast Food,Beverages,Continental",5.00,"25570,19294704,18532436,20404,18634729,20870,18610904,18617771,20350"
2,700003,22.55011226,88.35758804,Park Street Area,Park Street Area,"Chinese,North Indian,Fast Food,Biryani,Beverages",5.00,"25570,19294704,18532436,20404,20796,18634729,20870,18681582,18610904"
42,700044,22.55,88.2523,Metiabruz,Metiabruz,"Fast Food,Desserts,Burger,Mithai",0.72,"18892066,19138429,19298029"
23,700024,22.5485,88.2877,Kidderpore,Kidderpore,"Fast Food,North Indian,Bakery,Biryani,Chinese",3.89,"20747,22205,18166905,20789,21474,18574144,24176,20672,18557935"
17,700018,22.5481768,88.27011245,Metiabruz,Metiabruz,"Fast Food,Desserts,Burger,Mithai",0.72,"18892066,19138429,19298029"
67,700071,22.54760763,88.34947781,Park Street Area,Chowringhee,"Chinese,North Indian,Fast Food,Beverages,Continental",5.00,"25570,19294704,18532436,20404,18634729,20870,18610904,18617771,20350"
44,700046,22.5461,88.3861,Tangra,Tangra,"Chinese,North Indian,Fast Food,Biryani,Bakery",4.52,"18398880,19111824,18617768,18761167,21217,21346,21216,18343730,22631"
41,700043,22.54192548,88.30728786,Kidderpore,Kidderpore,"Fast Food,North Indian,Bakery,Biryani,Chinese",3.89,"20747,22205,18166905,20789,21474,18574144,24176,20672,18557935"
16,700017,22.5409,88.3681,Park Circus Area,Park Circus Area,"Chinese,Fast Food,North Indian,Biryani,Beverages",5.00,"18707652,19213376,20796,18681582,18610904,23729,18589546,18361667,18573069"
19,700020,22.5378,88.3515,Elgin,Elgin,"Chinese,North Indian,Fast Food,Beverages,Desserts",5.00,"25570,18707652,19213376,19294704,18532436,18343765,18681582,18610904,18589546"
46,700048,22.5358822,88.39139240000002,Topsia,Topsia,"Chinese,Fast Food,North Indian,Biryani,Desserts",4.56,"18707652,19213376,20796,18794031,23729,18617768,18761167,18354569,22833"
77,700082,22.535,88.2802,Kidderpore,Kidderpore,"Fast Food,North Indian,Bakery,Biryani,Chinese",3.89,"20747,22205,18166905,20789,21474,18574144,24176,20672,18557935"
22,700023,22.5317,88.3196,Kidderpore,Kidderpore,"Fast Food,North Indian,Bakery,Biryani,Chinese",3.89,"20747,22205,18166905,20789,21474,18574144,24176,20672,18557935"
40,700042,22.53133325,88.36607995,Ballygunge,Ballygunge,"Chinese,Fast Food,North Indian,Beverages,Desserts",4.95,"19088819,19236255,18707652,19213376,18017612,18343765,18681582,23729,19214687"
24,700025,22.52934417,88.34719521,Bhawanipur,Bhawanipur,"Chinese,North Indian,Fast Food,Beverages,Desserts",4.98,"18343765,18610904,18361667,18265462,21885,23831,23307,18017605,18476619"
18,700019,22.528000000000002,88.366,Ballygunge,Ballygunge,"Chinese,Fast Food,North Indian,Beverages,Desserts",4.95,"19088819,19236255,18707652,19213376,18017612,18343765,18681582,23729,19214687"
38,700039,22.528000000000002,88.3863,Picnic Garden,Picnic Garden,"Chinese,North Indian,Fast Food,Biryani,Mughlai",4.77,"18794031,18617768,18761167,18696949,22833,20002,21829,18343730,19117045"
26,700027,22.526,88.3341,Alipore,Alipore,"Chinese,North Indian,Fast Food,Bakery,Beverages",4.30,"18343756,18476619,18354589,21461,20168,24428,18368673,18895366,18749902"
93,700100,22.5251,88.4126,Ruby Hospital Area,Ruby Hospital Area,"North Indian,Chinese,Fast Food,Desserts,Beverages",4.58,"25737,18420364,18217475,18217447,25718,18631001,21533,18249144,23357"
25,700026,22.5201281,88.34780076,Kalighat,Desapriya Park,"Chinese,Fast Food,North Indian,Beverages,Cafe",5.00,"19088819,19236255,18575757,18711365,18361674,18723298,18017615,19214687,18650723"
28,700029,22.5176,88.3494,Lake Market Area,Desapriya Park,"Chinese,Fast Food,North Indian,Beverages,Cafe",5.00,"19088819,19236255,18575757,18711365,18361674,18723298,18017615,19214687,18650723"
82,700088,22.5172,88.3007,Behala,Behala,"Chinese,North Indian,Fast Food,Bengali,Bakery",4.34,"18166904,21257,18198695,18681438,25475,21861,18551385,21485,18175457"
131,700143,22.514,88.2875,Behala,Behala,"Chinese,North Indian,Fast Food,Bengali,Bakery",4.34,"18166904,21257,18198695,18681438,25475,21861,18551385,21485,18175457"
100,700107,22.5132,88.4018,Santoshpur,Kasba,"Chinese,North Indian,Fast Food,Biryani,Bengali",4.55,"25737,18794031,18420364,25190,18217475,25718,21533,19117045,18249144"
58,700060,22.51245955,88.3021775,Behala,Behala,"Chinese,North Indian,Fast Food,Bengali,Bakery",4.34,"18166904,21257,18198695,18681438,25475,21861,18551385,21485,18175457"
51,700053,22.5108,88.3328,New Alipore,New Alipore,"Chinese,North Indian,Fast Food,Bakery,Desserts",4.58,"18575757,18166904,18343756,21515,24940,25475,18899520,18414437,23814"
32,700033,22.51073655,88.34947523,Southern Avenue,Southern Avenue,"Chinese,Fast Food,North Indian,Beverages,Desserts",5.00,"19088819,19301747,19236255,18575757,18711365,19289502,18361674,19086661,18723298"
130,700142,22.509,88.275,Tara Tala,Tara Tala,"North Indian,Chinese,Fast Food,Biryani,Bengali",2.86,"21485,20132,18619896,18861958,18017649,19251033,19188672,18923290,19074358"
30,700031,22.5075,88.3727,Dhakuria,Dhakuria,"Chinese,North Indian,Fast Food,Bengali,Desserts",4.76,"19088819,19301747,19236255,19289502,19086661,18017615,18420517,18249157,19036445"
73,700078,22.50525755,88.38695459,Kalikapur,Kasba,"Chinese,North Indian,Fast Food,Biryani,Bengali",4.55,"25737,18794031,18420364,25190,18217475,25718,21533,19117045,18249144"
64,700068,22.50376412,88.36420305,Jodhpur Park,Prince Anwar Shah Road,"Chinese,Fast Food,North Indian,Desserts,Beverages",5.00,"19301747,18575757,18711365,19289502,19086661,18017615,18420517,18249157,19036445"
43,700045,22.50260194,88.35931292,Lake Gardens,Prince Anwar Shah Road,"Chinese,Fast Food,North Indian,Desserts,Beverages",5.00,"19301747,18575757,18711365,19289502,19086661,18017615,18420517,18249157,19036445"
33,700034,22.4979,88.3191,Behala,Behala,"Chinese,North Indian,Fast Food,Bengali,Bakery",4.34,"18166904,21257,18198695,18681438,25475,21861,18551385,21485,18175457"
88,700095,22.4947,88.35952815,Jadavpur,Golf Green,"Chinese,Fast Food,North Indian,Bengali,Beverages",4.82,"19301747,19289502,19086661,18420517,18249157,19036445,18663727,23295,23571"
31,700032,22.4937,88.3693,Jadavpur,Jadavpur,"Chinese,Fast Food,North Indian,Bengali,Biryani",4.84,"19301747,19289502,19086661,18420517,18249157,19036445,18663727,23295,23571"
92,700099,22.49252572,88.40341472,Ajoy Nagar,Ajoy Nagar,"Chinese,North Indian,Fast Food,Bengali,Beverages",4.37,"18607141,20965,18265446,18997514,21859,18404203,20923,24590,18648178"
39,700040,22.4869,88.3509,Tollygunge,Tollygunge,"Chinese,North Indian,Fast Food,Bakery,Bengali",4.65,"18575757,18663727,23295,18265458,18361680,18198678,24716,18899520,24794"
86,700092,22.48280775,88.35034590000001,Tollygunge,Tollygunge,"Chinese,North Indian,Fast Food,Bakery,Bengali",4.65,"18575757,18663727,23295,18265458,18361680,18198678,24716,18899520,24794"
136,700150,22.4813,88.4501,Garia,Garia,"Chinese,North Indian,Fast Food,Bengali,Bakery",4.12,"19164059,18748379,21967,18577170,23221,18662306,18513817,25094,23380"
7,700008,22.4812,88.3135,Behala,Behala,"Chinese,North Indian,Fast Food,Bengali,Bakery",4.34,"18166904,21257,18198695,18681438,25475,21861,18551385,21485,18175457"
