,name,id,address,zipcode,locality,latitude,longitude,cuisines,average_cost_for_two,highlights,aggregate_rating,number_of_reviews
222,Baishakhi,25489,"256/3,Colony More, Barasat, Kolkata",,Barasat,22.7226360291,88.4781910479,"North Indian, Chinese, Bengali",400,"Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Digital Payments Accepted,Air Conditioned",2.7,68
223,Royal Indian Hotel,21411,"147, Rabindra Sarani, Bara Bazar, Kolkata",0,Bara Bazar,22.5790277995,88.3565515280,"North Indian, Mughlai, Biryani",550,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Air Conditioned",4.2,1242
224,My Sweet Cafe,19308510,"43, South Ghosh Para, Sonarpur, Kolkata",,Sonarpur,22.4403092000,88.4284002000,"Fast Food, North Indian",100,"Delivery,Breakfast,Dinner,Cash,Takeaway Available,Lunch,Indoor Seating",2.8,3
225,The Darjeeling,24833,"DB 35, Sector 1, Salt Lake, Kolkata",,"Sector 1, Salt Lake",22.5874533123,88.4042727202,"Chinese, Tibetan, Momos",500,"Takeaway Available,Dinner,Cash,Lunch,Delivery,Indoor Seating,Air Conditioned",4.0,634
226,Urban Masala,19059355,"882, Lake Town Road, Near Jaya Cinema, Lake Town, Kolkata",700089,Lake Town,22.6064047304,88.4028276801,"South Indian, Chinese, Italian, North Indian, Fast Food, Desserts, Beverages, Juices",600,"Dinner,Delivery,Breakfast,Lunch,Cash,Takeaway Available,Credit Card,Debit Card,Indoor Seating,Air Conditioned,Pure Veg,Table booking recommended",4.8,390
227,Mocambo,20350,"25B Park Street, Park Street Area, Kolkata",,Park Street Area,22.5532750482,88.3532899618,Continental,800,"Lunch,Cash,Takeaway Available,Debit Card,Dinner,Delivery,Credit Card,Fullbar,Table booking recommended,Indoor Seating,Air Conditioned",4.1,3672
228,Cafe Coffee Day,24648,"Wood Square Mall, Sherwood Estate, State Highway 1, Ramchandrapur, Narendra Pur, Kolkata",,Narendra Pur,22.4398530757,88.3972885832,"Cafe, Fast Food, Desserts, Beverages, Sandwich, Coffee",700,"Debit Card,Credit Card,Cash,Takeaway Available,Indoor Seating,Desserts and Bakes,Air Conditioned,All Day Breakfast",3.8,54
229,The Chicken House,18573069,"29/1, Hare Krishna Kunal Road, Entally, Kolkata",,Entally,22.5553827197,88.3663482964,"Fast Food, American, Burger",250,"Dinner,Delivery,Lunch,Cash,Takeaway Available,Outdoor Seating,Kid Friendly,Brunch",4.0,293
230,WOW! Momo,18604394,"Sonarpur Station Road, Narendra Pur, Kolkata",,Narendra Pur,22.4473088112,88.3923697472,Momos,350,"Dinner,Credit Card,Lunch,Breakfast,Cash,Debit Card,Takeaway Available,Delivery,Indoor Seating",3.8,74
231,Mio Amore,25251,"7/1, Dum Dum Road, Dum Dum, Kolkata",,Dum Dum,22.6369746983,88.4137798101,Bakery,300,"No Seating Available,Cash,Takeaway Available,Desserts and Bakes,Air Conditioned",3.8,41
232,Cafe Treat - The Pride Hotels,21621,"The Pride Hotels, BG 12, Terminus, Action Area 1B, New Town, Kolkata",0,"The Pride Hotels, New Town",22.5806818620,88.4621108696,"North Indian, Chinese, Continental, Italian",1500,"Dinner,Cash,Credit Card,Lunch,Breakfast,Debit Card,Valet Parking Available,Indoor Seating,Wheelchair Accessible,Buffet,Group Meal,Fullbar,Air Conditioned,Smoking Area,Wifi",4.1,178
233,McDonald's,23307,"Merlin Homeland, 18B, Ashutosh Mukherjee Road, Bhawanipur, Kolkata",,"Merlin Homeland, Bhawanipur",22.5359179683,88.3462421224,"Burger, Fast Food",500,"Dinner,Mall Parking,Takeaway Available,Breakfast,Lunch,Cash,Delivery,Credit Card,Debit Card,Indoor Seating,Wheelchair Accessible,Air Conditioned",4.1,393
234,Ozora,18420364,"1858, Acropolis Mall, Rajdanga Main Road, Kasba, Kolkata",,"Acropolis Mall, Kasba",22.5148427176,88.3932203427,"Chinese, Italian, Thai",2700,"Lunch,Cash,Credit Card,Dinner,Mall Parking,Takeaway Available,Debit Card,Fullbar,Indoor Seating,Smoking Area,Outdoor Seating,Rooftop,Hookah",4.1,1533
235,Riyasat,19086661,"Shop 301, 3rd Floor, South City Mall, Prince Anwar Shah Road, Kolkata",,"South City Mall, Prince Anwar Shah Road",22.5015627704,88.3613982797,North Indian,1600,"Lunch,Mall Parking,Credit Card,Dinner,Cash,Takeaway Available,Debit Card,Fullbar,Table booking recommended,Luxury Dining,Wifi,Indoor Seating,Air Conditioned,Wheelchair Accessible",4.5,309
236,Cafe Mezzuna,23831,"10/3, 4th Floor, Forum Mall, Elgin Road, Elgin, Kolkata",,"Forum Mall, Elgin",22.5383981272,88.3514000103,"Mexican, Italian, Continental",1600,"Takeaway Available,Mall Parking,Debit Card,Cash,Delivery,Dinner,Credit Card,Lunch,Fullbar,Smoking Area,Indoor Seating,Buffet,Serves Cocktails,Wheelchair Accessible,Air Conditioned",4.5,2110
237,Cafe Valentino,25568,"7, Madan Chatterjee Lane, Singhi Bagan, Girish Park, Kolkata",700007,Girish Park,22.5840184077,88.3610338345,"Pizza, Sandwich, Fast Food, Desserts, Beverages",300,"Dinner,Delivery,Lunch,Cash,Takeaway Available,Breakfast,Indoor Seating,Pure Veg",4.0,517
238,Drop In,22205,"57, Ground Floor, Block A, Ideal Towers, Diamond Harbour Road, Kidderpore, Kolkata",0,Kidderpore,22.5317307992,88.3267672732,"North Indian, Chinese",350,"Dinner,Delivery,Lunch,Cash,Takeaway Available,Breakfast,Outdoor Seating,Pure Veg",3.8,516
239,Echoes Kolkata,18761167,"Shop 86 A, 6th Floor, Haute Street, Corporate Park, Seal Lane, Topsia, Kolkata",,Topsia,22.5421447579,88.3858147636,"Bar Food, Street Food, North Indian, Burger, Italian, Chinese, Beverages",2000,"Credit Card,Lunch,Delivery,Debit Card,Dinner,Cash,Takeaway Available,Desserts and Bakes,DJ,Live Sports Screening,Valet Parking Available,Outdoor Seating,Table booking recommended,Air Conditioned,Smoking Area,Free Parking,Nightlife,Fullbar,Indoor Seating,Wifi",4.5,659
240,New City Restaurant,24176,"5, Kabitirtha Sarani, Kidderpore, Kolkata",700023,Kidderpore,22.5423565653,88.3256417513,"North Indian, Mughlai",600,"Dinner,Cash,Takeaway Available,Lunch,Delivery,Indoor Seating,Air Conditioned",3.6,97
241,Zaikebaaz,23512,"255/7/1, N.S.C. Bose Road, Near Naktala Post Office, Naktala, Kolkata",700047,Naktala,22.4724086995,88.3654299751,"North Indian, Chinese",400,"Lunch,Delivery,Credit Card,Dinner,Cash,Takeaway Available,Debit Card,Digital Payments Accepted",3.9,782
242,Kasturi Restaurant,21829,"13/6B, Anil Moitro Road, Near Patha Bhabvan Montessori School, Ballygunge, Kolkata",700019,Ballygunge,22.5243774749,88.3687344566,"Bengali, Bangladeshi",400,"Dinner,Delivery,Credit Card,Lunch,Cash,Takeaway Available,Indoor Seating,Air Conditioned,Table booking recommended",3.9,731
243,Mio Amore,25272,"107/2, Feeder Road, Belghoria, Kolkata",,Belghoria,22.6605299602,88.3869329095,Bakery,300,"No Seating Available,Cash,Takeaway Available,Desserts and Bakes,Air Conditioned",4.1,73
244,Domino's Pizza,23973,"40/26, Ground Floor, Shyam Kunj Apartment, B.T. Road, Barrackpore, Kolkata",,Barrackpore,22.7560737248,88.3686026931,"Pizza, Fast Food",400,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Air Conditioned",4.1,435
245,Barishh,19301747,"4th Floor, South City Mall, Prince Anwar Shah Road, Kolkata",700068,"South City Mall, Prince Anwar Shah Road",22.5017000000,88.3617000000,Modern Indian,1900,"Lunch,Debit Card,Dinner,Cash,Credit Card,Fullbar,Air Conditioned,Smoking Area,Indoor Seating",4.7,101
246,KFC,21533,"1842, Rene World Tower, Rajdanga Main Road, Near Kasba New Market, Kasba, Kolkata",0,Kasba,22.5146200277,88.3918701857,"Fast Food, Burger",450,"Lunch,Cash,Takeaway Available,Debit Card,Dinner,Delivery,Credit Card,Sodexo,Indoor Seating,Air Conditioned",4.1,653
247,KFC,20894,"Ground Floor, Block C, City Centre 2 Mall, Chinar Park, Kolkata",0,"City Centre 2 Mall, Chinar Park",22.6229752158,88.4503047913,"Fast Food, Burger",450,"Cash,Debit Card,Dinner,Credit Card,Delivery,Mall Parking,No Alcohol Available,Takeaway Available,Lunch,Air Conditioned,Indoor Seating,Halal,Sodexo,Wheelchair Accessible,Table booking not available",4.2,587
248,Domino's Pizza,24311,"20, Dakshinayan, Barasat Road, Sodepur, Kolkata",,Sodepur,22.6978319316,88.3882642910,"Pizza, Fast Food",400,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Air Conditioned",4.1,592
